ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.7706214689265537,0.8982594145954452,0.7567588758493958,0.7706214689265537,0.7593536976191395,0.6194234962363818
Decision Tree,0.6632768361581921,0.7445079687502278,0.6723663519502376,0.6632768361581921,0.6674407318548885,0.4589434198805466
kNN,0.696045197740113,0.8156502079697608,0.6787808313859487,0.696045197740113,0.6796520520720264,0.4912346819805935
Naive Bayes,0.2440677966101695,0.7122714938378193,0.5318512267966269,0.2440677966101695,0.16658465200838082,0.12393672890923824
Random Forest,0.7604519774011299,0.9042909488226606,0.7394533621519356,0.7604519774011299,0.7346528579252085,0.6014534589646192
Support Vector Machine,0.7638418079096045,0.8792414734266492,0.750370062877432,0.7638418079096045,0.7510297529393758,0.6079425041156372
